period,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
Yayoi,xbc,0.43711249999999907,1,0.8159571428571432,7,0.20443392857142892,7,0.016206250000000023,16,2.1381602508669326,0.18706891896289435,3.9913000183433294,0.0440445047015742,12.614511597157184,1.888654848432589e-5,0.002,4,*,7.927377863962333,2,0.09411383928571444,5.917886813062319
Yayoi,xbm1,0.12658181818182052,1,1.9448804545454572,10,0.08625681818181834,10,0.011804545454545482,22,1.4674992754196223,0.2535895394930166,22.547556187916623,1.5071281752802445e-5,7.307085098190216,5.375835224501085e-5,0.0020833333333333333,5,*,13.685347666851113,2,0.037226136363636426,7.387329947237101
Yayoi,xbi1,7.692307692305796e-6,1,0.6158076923076923,12,0.05619935897435898,12,0.01451923076923075,26,1.3687536357515073e-4,0.9908577191987886,10.957557231011393,1.0909824932213838e-4,3.8706843267108226,0.0018744710599872733,0.002173913043478261,6,*,25.835224874816035,2,0.020840064102564115,6.403239765674625
Yayoi,xbp1,0.006428571428571406,1,4.097318681318685,13,0.041390109890109904,13,0.011496428571428585,28,0.15531660692950955,0.6998941426348609,98.992698791982,8.480181281022373e-11,3.600258083016701,0.0021843852926010845,0.002272727272727273,7,*,27.775786539227422,2,0.01494684065934066,6.546738022311865
Yayoi,mlm1,0.19633152173912938,1,0.9448600790513839,22,0.11373379446640307,22,0.04310978260869578,46,1.7262373304279903,0.20242857914242096,8.307645792390188,2.7644461568204686e-6,2.6382363255866093,0.0027652239735521424,0.002380952380952381,8,n.s.,37.90411004130386,2,0.03531200592885364,7.937566805866125
Yayoi,mbp1,0.023808695652174146,1,1.407921541501977,22,0.0837677865612647,22,0.034065217391304345,46,0.28422257086572694,0.5992917451364819,16.807433970721842,3.6450280819714583e-9,2.459041596565524,0.005049960974492715,0.0025,9,n.s.,40.666249867292706,2,0.024851284584980177,7.177410159117393
Yayoi,mbp2,0.029605555555555527,1,0.7943941176470581,17,0.10412026143790847,17,0.039849999999999955,36,0.28434000401747583,0.6007731725740825,7.629582433586095,6.10944526569235e-5,2.6128045530215456,0.0075877425076595045,0.002631578947368421,10,n.s.,38.273050268668676,2,0.032135130718954255,6.058300805128321
Yayoi,mli2,0.06609411764705822,1,0.26568290441176556,16,0.21802224264705902,16,0.08692352941176472,34,0.30315309504477195,0.5895179566658449,1.218604584495817,0.3486472269410606,2.5082074338499036,0.011938692456650227,0.002777777777777778,11,n.s.,39.86911076429901,2,0.06554935661764716,5.382533024357614
Yayoi,xlc,0.46543214285714357,1,1.3472619047619043,6,0.0755904761904764,6,0.020710714285714332,14,6.157285498299098,0.047715538604139636,17.82316996346221,0.0013824667779503141,3.6498246824165106,0.02152447821760822,0.0029411764705882353,12,n.s.,27.398576288270114,2,0.027439880952381035,3.0640046180625067
Yayoi,xlp1,0.006694230769230924,1,0.5517980769230771,12,0.09436089743589783,12,0.041094230769230765,26,0.07094284763218275,0.7944903826510443,5.847740874846279,0.0023060643978889696,2.2962079024131627,0.03699065074094959,0.003125,13,n.s.,43.55006351772703,2,0.026633333333333533,3.5161275165822987
Yayoi,mbi2,0.06180147058823634,1,0.36512040441176424,16,0.07120459558823533,16,0.03987794117647064,34,0.867942161284424,0.3653711766624129,5.127764597150394,0.0010892083466107296,1.785563484161226,0.07656654934378244,0.0033333333333333335,14,n.s.,56.00472953610793,2,0.015663327205882347,2.698614797431493
Yayoi,xlm2,0.2128781249999984,1,2.964395982142855,7,0.17524241071428603,7,0.0903843749999993,16,1.214763732890398,0.30683704050385285,16.915973536657088,6.849668734406806e-4,1.9388573601829675,0.12919613046138428,0.0035714285714285718,15,n.s.,51.5767699334845,2,0.04242901785714337,1.4702550215107766
Yayoi,xbm2,0.008778125000000197,1,3.457113839285712,7,0.053563839285714274,7,0.028415625000000007,16,0.1638815498862376,0.697692786676786,64.54193510747353,7.931208713762787e-6,1.8850135897315037,0.13906001288942035,0.0038461538461538464,16,n.s.,53.050015418851025,2,0.012574107142857133,1.3738538713546107
Yayoi,mbi1,0.001601666666666719,1,0.3101599999999999,14,0.029176666666666625,14,0.018381666666666692,30,0.05489546441220341,0.8181455598660522,10.630412430024002,3.7345656678913865e-5,1.5872699247438526,0.1406360330510248,0.004166666666666667,17,n.s.,63.00125671198464,2,0.0053974999999999666,1.6169638195696543
Yayoi,mlp1,0.002301136363636412,1,0.5979944264069268,21,0.08912256493506494,21,0.061223863636363625,44,0.02581990728513064,0.8738766435435568,6.7097982070267825,2.6594231241095604e-5,1.455683448277691,0.1452534318026045,0.004545454545454546,18,n.s.,68.69625406424464,2,0.01394935064935066,1.679550626430515
Yayoi,mbm1,0.008210227272727801,1,0.9033078463203462,21,0.21877927489177468,21,0.16064204545454522,44,0.037527445306641684,0.8482566652082204,4.128854740775573,9.975888833575032e-4,1.3619054356082623,0.19082781683877703,0.005,19,n.s.,73.4265371041253,2,0.02906861471861473,1.1794239606900876
