period,trait,uid,consec_diff_idx,n_pool,consec_diff,group_mean,group_sd,test,p_vs_mean,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
Jomon,mbp1,Shirahama_1,2,14,0,0.19571428571428579,0.70675547164722885,dixon,0.011160368907556586,0,2.2026431718061675e-4,80,n.s.,2.0408163265306123e-4,62,*
Jomon,mbp1,Wakimisaki_1,1,14,0.16000000000000014,0.19571428571428579,0.70675547164722885,dixon,0.011160368907556586,0,2.1551724137931037e-4,75,n.s.,2.0080321285140563e-4,58,*
Jomon,mbp1,Wakimisaki_1,2,14,0.23000000000000043,0.19571428571428579,0.70675547164722885,dixon,0,0,2.0242914979757087e-4,60,*,1.9607843137254904e-4,52,*
Jomon,mbp1,Wakimisaki_2,1,14,-0.7299999999999995,0.19571428571428579,0.70675547164722885,dixon,0.011160368907556586,0.011160368907556586,2.173913043478261e-4,77,n.s.,2.192982456140351e-4,79,n.s.
Jomon,mbp1,Wakimisaki_2,2,14,0.1299999999999999,0.19571428571428579,0.70675547164722885,dixon,0.011160368907556586,0,2.183406113537118e-4,78,n.s.,2.0242914979757087e-4,60,*
Jomon,mbp1,Wakimisaki_5,1,14,0.13999999999999968,0.19571428571428579,0.70675547164722885,dixon,0.011160368907556586,0,2.1645021645021645e-4,76,n.s.,2.0161290322580645e-4,59,*
Jomon,mbp1,Wakimisaki_5,2,14,0.4299999999999997,0.19571428571428579,0.70675547164722885,dixon,0,0,2.032520325203252e-4,61,*,1.9685039370078743e-4,53,*
Jomon,mbp2,Okinoharu_21,1,12,0.14000000000000057,0.005833333333333357,0.2705703851742342,dixon,0.5524428840964132,0.5524428840964132,7.462686567164179e-4,240,n.s.,7.8125e-4,243,n.s.
Jomon,mbp2,Okinoharu_21,2,12,0.009999999999999787,0.005833333333333357,0.2705703851742342,dixon,0.5524428840964132,0.5524428840964132,7.575757575757576e-4,241,n.s.,7.936507936507937e-4,244,n.s.
Jomon,mbp2,Okinoharu_25,1,12,-0.22000000000000064,0.005833333333333357,0.2705703851742342,dixon,0.14067317587019004,0.14067317587019004,2.793296089385475e-4,128,n.s.,2.7624309392265195e-4,126,n.s.
